"date","country","confirmed","death","recovered","active"
2020-01-27,"Taiwan",5,0,0,5
2020-01-27,"Thailand",8,0,2,6
2020-01-27,"US",5,0,0,5
2020-01-27,"Vietnam",2,0,0,2
2020-01-28,"Australia",5,0,0,5
2020-01-28,"Cambodia",1,0,0,1
2020-01-28,"Canada",2,0,0,2
2020-01-28,"China",5509,131,101,5277
2020-01-28,"France",4,0,0,4
2020-01-28,"Germany",4,0,0,4
2020-01-28,"Japan",7,0,1,6
2020-01-28,"Malaysia",4,0,0,4
2020-01-28,"Nepal",1,0,0,1
2020-01-28,"Singapore",7,0,0,7
2020-01-28,"South Korea",4,0,0,4
2020-01-28,"Sri Lanka",1,0,0,1
2020-01-28,"Taiwan",8,0,0,8
2020-01-28,"Thailand",14,0,5,9
2020-01-28,"US",5,0,0,5
2020-01-28,"Vietnam",2,0,0,2
2020-01-29,"Australia",5,0,0,5
2020-01-29,"Cambodia",1,0,0,1
2020-01-29,"Canada",2,0,0,2
2020-01-29,"China",6087,133,120,5834
2020-01-29,"Finland",1,0,0,1
2020-01-29,"France",5,0,0,5
2020-01-29,"Germany",4,0,0,4
2020-01-29,"Japan",7,0,1,6
2020-01-29,"Malaysia",7,0,0,7
2020-01-29,"Nepal",1,0,0,1
2020-01-29,"Singapore",7,0,0,7
2020-01-29,"South Korea",4,0,0,4
2020-01-29,"Sri Lanka",1,0,0,1
2020-01-29,"Taiwan",8,0,0,8
2020-01-29,"Thailand",14,0,5,9
2020-01-29,"United Arab Emirates",4,0,0,4
2020-01-29,"US",5,0,0,5
2020-01-29,"Vietnam",2,0,0,2
2020-01-30,"Australia",9,0,2,7
2020-01-30,"Cambodia",1,0,0,1
2020-01-30,"Canada",3,0,0,3
2020-01-30,"China",8141,171,135,7835
2020-01-30,"Finland",1,0,0,1
2020-01-30,"France",5,0,0,5
2020-01-30,"Germany",4,0,0,4
2020-01-30,"India",1,0,0,1
2020-01-30,"Japan",11,0,1,10
2020-01-30,"Malaysia",8,0,0,8
2020-01-30,"Nepal",1,0,0,1
2020-01-30,"Philippines",1,0,0,1
2020-01-30,"Singapore",10,0,0,10
2020-01-30,"South Korea",4,0,0,4
2020-01-30,"Sri Lanka",1,0,0,1
2020-01-30,"Taiwan",9,0,0,9
2020-01-30,"Thailand",14,0,5,9
2020-01-30,"United Arab Emirates",4,0,0,4
2020-01-30,"US",5,0,0,5
2020-01-30,"Vietnam",2,0,0,2
2020-01-31,"Australia",9,0,2,7
2020-01-31,"Cambodia",1,0,0,1
2020-01-31,"Canada",3,0,0,3
2020-01-31,"China",9802,213,214,9375
2020-01-31,"Finland",1,0,0,1
2020-01-31,"France",5,0,0,5
2020-01-31,"Germany",5,0,0,5
2020-01-31,"India",1,0,0,1
2020-01-31,"Italy",2,0,0,2
2020-01-31,"Japan",15,0,1,14
2020-01-31,"Malaysia",8,0,0,8
2020-01-31,"Nepal",1,0,0,1
2020-01-31,"Philippines",1,0,0,1
2020-01-31,"Russia",2,0,0,2
2020-01-31,"Singapore",13,0,0,13
2020-01-31,"South Korea",11,0,0,11
2020-01-31,"Sri Lanka",1,0,0,1
2020-01-31,"Sweden",1,0,0,1
2020-01-31,"Taiwan",10,0,0,10
2020-01-31,"Thailand",19,0,5,14
2020-01-31,"UK",2,0,0,2
2020-01-31,"United Arab Emirates",4,0,0,4
2020-01-31,"US",6,0,0,6
2020-01-31,"Vietnam",2,0,0,2
2020-02-01,"Australia",12,0,2,10
2020-02-01,"Cambodia",1,0,0,1
2020-02-01,"Canada",4,0,0,4
2020-02-01,"China",11891,259,275,11357
2020-02-01,"Finland",1,0,0,1
2020-02-01,"France",6,0,0,6
2020-02-01,"Germany",8,0,0,8
2020-02-01,"India",1,0,0,1
2020-02-01,"Italy",2,0,0,2
2020-02-01,"Japan",20,0,1,19
2020-02-01,"Malaysia",8,0,0,8
2020-02-01,"Nepal",1,0,0,1
2020-02-01,"Philippines",1,0,0,1
2020-02-01,"Russia",2,0,0,2
2020-02-01,"Singapore",16,0,0,16
2020-02-01,"South Korea",12,0,0,12
2020-02-01,"Spain",1,0,0,1
2020-02-01,"Sri Lanka",1,0,0,1
2020-02-01,"Sweden",1,0,0,1
2020-02-01,"Taiwan",10,0,0,10
2020-02-01,"Thailand",19,0,5,14
2020-02-01,"UK",2,0,0,2
2020-02-01,"United Arab Emirates",4,0,0,4
2020-02-01,"US",8,0,0,8
2020-02-01,"Vietnam",6,0,1,5
2020-02-02,"Australia",12,0,2,10
2020-02-02,"Cambodia",1,0,0,1
2020-02-02,"Canada",4,0,0,4
2020-02-02,"China",16630,361,463,15806
2020-02-02,"Finland",1,0,0,1
2020-02-02,"France",6,0,0,6
2020-02-02,"Germany",10,0,0,10
2020-02-02,"India",2,0,0,2
2020-02-02,"Italy",2,0,0,2
2020-02-02,"Japan",20,0,1,19
2020-02-02,"Malaysia",8,0,0,8
2020-02-02,"Nepal",1,0,0,1
2020-02-02,"Philippines",2,1,0,1
2020-02-02,"Russia",2,0,0,2
2020-02-02,"Singapore",18,0,0,18
2020-02-02,"South Korea",15,0,0,15
2020-02-02,"Spain",1,0,0,1
2020-02-02,"Sri Lanka",1,0,0,1
2020-02-02,"Sweden",1,0,0,1
2020-02-02,"Taiwan",10,0,0,10
2020-02-02,"Thailand",19,0,5,14
2020-02-02,"UK",2,0,0,2
2020-02-02,"United Arab Emirates",5,0,0,5
2020-02-02,"US",8,0,0,8
2020-02-02,"Vietnam",6,0,1,5
2020-02-03,"Australia",12,0,2,10
2020-02-03,"Cambodia",1,0,0,1
2020-02-03,"Canada",4,0,0,4
2020-02-03,"China",19716,425,614,18677
2020-02-03,"Finland",1,0,0,1
2020-02-03,"France",6,0,0,6
2020-02-03,"Germany",12,0,0,12
2020-02-03,"India",3,0,0,3
2020-02-03,"Italy",2,0,0,2
2020-02-03,"Japan",20,0,1,19
2020-02-03,"Malaysia",8,0,0,8
2020-02-03,"Nepal",1,0,0,1
2020-02-03,"Philippines",2,1,0,1
2020-02-03,"Russia",2,0,0,2
2020-02-03,"Singapore",18,0,0,18
2020-02-03,"South Korea",15,0,0,15
2020-02-03,"Spain",1,0,0,1
2020-02-03,"Sri Lanka",1,0,0,1
2020-02-03,"Sweden",1,0,0,1
2020-02-03,"Taiwan",10,0,0,10
2020-02-03,"Thailand",19,0,5,14
2020-02-03,"UK",2,0,0,2
2020-02-03,"United Arab Emirates",5,0,0,5
2020-02-03,"US",11,0,0,11
2020-02-03,"Vietnam",8,0,1,7
2020-02-04,"Australia",13,0,2,11
2020-02-04,"Belgium",1,0,0,1
2020-02-04,"Cambodia",1,0,0,1
2020-02-04,"Canada",4,0,0,4
2020-02-04,"China",23707,491,843,22373
2020-02-04,"Finland",1,0,0,1
2020-02-04,"France",6,0,0,6
2020-02-04,"Germany",12,0,0,12
2020-02-04,"India",3,0,0,3
2020-02-04,"Italy",2,0,0,2
2020-02-04,"Japan",22,0,1,21
2020-02-04,"Malaysia",10,0,0,10
2020-02-04,"Nepal",1,0,0,1
2020-02-04,"Philippines",2,1,0,1
2020-02-04,"Russia",2,0,0,2
2020-02-04,"Singapore",24,0,0,24
2020-02-04,"South Korea",16,0,0,16
2020-02-04,"Spain",1,0,0,1
2020-02-04,"Sri Lanka",1,0,0,1
2020-02-04,"Sweden",1,0,0,1
2020-02-04,"Taiwan",11,0,0,11
2020-02-04,"Thailand",25,0,5,20
2020-02-04,"UK",2,0,0,2
2020-02-04,"United Arab Emirates",5,0,0,5
2020-02-04,"US",11,0,0,11
2020-02-04,"Vietnam",8,0,1,7
2020-02-05,"Australia",13,0,2,11
2020-02-05,"Belgium",1,0,0,1
2020-02-05,"Cambodia",1,0,0,1
2020-02-05,"Canada",5,0,0,5
2020-02-05,"China",27440,563,1115,25762
2020-02-05,"Finland",1,0,0,1
2020-02-05,"France",6,0,0,6
2020-02-05,"Germany",12,0,0,12
2020-02-05,"India",3,0,0,3
2020-02-05,"Italy",2,0,0,2
2020-02-05,"Japan",22,0,1,21
2020-02-05,"Malaysia",12,0,0,12
2020-02-05,"Nepal",1,0,0,1
2020-02-05,"Philippines",2,1,0,1
2020-02-05,"Russia",2,0,0,2
2020-02-05,"Singapore",28,0,0,28
2020-02-05,"South Korea",19,0,0,19
2020-02-05,"Spain",1,0,0,1
2020-02-05,"Sri Lanka",1,0,0,1
2020-02-05,"Sweden",1,0,0,1
2020-02-05,"Taiwan",11,0,0,11
2020-02-05,"Thailand",25,0,5,20
2020-02-05,"UK",2,0,0,2
2020-02-05,"United Arab Emirates",5,0,0,5
2020-02-05,"US",12,0,0,12
2020-02-05,"Vietnam",8,0,1,7
2020-02-06,"Australia",14,0,2,12
2020-02-06,"Belgium",1,0,0,1
2020-02-06,"Cambodia",1,0,0,1
2020-02-06,"Canada",5,0,0,5
2020-02-06,"China",30587,633,1477,28477
2020-02-06,"Finland",1,0,0,1
2020-02-06,"France",6,0,0,6
2020-02-06,"Germany",12,0,0,12
2020-02-06,"India",3,0,0,3
2020-02-06,"Italy",2,0,0,2
2020-02-06,"Japan",45,0,1,44
2020-02-06,"Malaysia",12,0,0,12
2020-02-06,"Nepal",1,0,0,1
2020-02-06,"Philippines",2,1,0,1
2020-02-06,"Russia",2,0,0,2
2020-02-06,"Singapore",28,0,0,28
2020-02-06,"South Korea",23,0,0,23
2020-02-06,"Spain",1,0,0,1
2020-02-06,"Sri Lanka",1,0,0,1
2020-02-06,"Sweden",1,0,0,1
2020-02-06,"Taiwan",16,0,1,15
2020-02-06,"Thailand",25,0,5,20
2020-02-06,"UK",2,0,0,2
2020-02-06,"United Arab Emirates",5,0,0,5
2020-02-06,"US",12,0,0,12
2020-02-06,"Vietnam",10,0,1,9
2020-02-07,"Australia",15,0,2,13
2020-02-07,"Belgium",1,0,0,1
2020-02-07,"Cambodia",1,0,0,1
2020-02-07,"Canada",7,0,0,7
2020-02-07,"China",34110,718,1999,31393
2020-02-07,"Finland",1,0,0,1
2020-02-07,"France",6,0,0,6
2020-02-07,"Germany",13,0,0,13
2020-02-07,"India",3,0,0,3
2020-02-07,"Italy",3,0,0,3
2020-02-07,"Japan",25,0,1,24
2020-02-07,"Malaysia",12,0,1,11
2020-02-07,"Nepal",1,0,0,1
2020-02-07,"Others",61,0,0,61
2020-02-07,"Philippines",3,1,0,2
2020-02-07,"Russia",2,0,0,2
2020-02-07,"Singapore",30,0,0,30
2020-02-07,"South Korea",24,0,1,23
2020-02-07,"Spain",1,0,0,1
2020-02-07,"Sri Lanka",1,0,0,1
2020-02-07,"Sweden",1,0,0,1
2020-02-07,"Taiwan",16,0,1,15
2020-02-07,"Thailand",25,0,5,20
2020-02-07,"UK",3,0,0,3
2020-02-07,"United Arab Emirates",5,0,0,5
2020-02-07,"US",12,0,0,12
2020-02-07,"Vietnam",10,0,1,9
2020-02-08,"Australia",15,0,2,13
2020-02-08,"Belgium",1,0,0,1
2020-02-08,"Cambodia",1,0,0,1
2020-02-08,"Canada",7,0,0,7
2020-02-08,"China",36814,805,2596,33413
2020-02-08,"Finland",1,0,0,1
2020-02-08,"France",11,0,0,11
2020-02-08,"Germany",13,0,0,13
2020-02-08,"India",3,0,0,3
2020-02-08,"Italy",3,0,0,3
2020-02-08,"Japan",25,0,1,24
2020-02-08,"Malaysia",16,0,1,15
2020-02-08,"Nepal",1,0,0,1
2020-02-08,"Others",61,0,0,61
2020-02-08,"Philippines",3,1,0,2
2020-02-08,"Russia",2,0,0,2
2020-02-08,"Singapore",33,0,2,31
2020-02-08,"South Korea",24,0,1,23
2020-02-08,"Spain",1,0,0,1
2020-02-08,"Sri Lanka",1,0,1,0
2020-02-08,"Sweden",1,0,0,1
2020-02-08,"Taiwan",17,0,1,16
2020-02-08,"Thailand",32,0,10,22
2020-02-08,"UK",3,0,0,3
2020-02-08,"United Arab Emirates",7,0,0,7
2020-02-08,"US",12,0,0,12
2020-02-08,"Vietnam",13,0,1,12
2020-02-09,"Australia",15,0,2,13
2020-02-09,"Belgium",1,0,0,1
2020-02-09,"Cambodia",1,0,0,1
2020-02-09,"Canada",7,0,0,7
2020-02-09,"China",39829,905,3219,35705
2020-02-09,"Finland",1,0,0,1
2020-02-09,"France",11,0,0,11
2020-02-09,"Germany",14,0,0,14
2020-02-09,"India",3,0,0,3
2020-02-09,"Italy",3,0,0,3
2020-02-09,"Japan",26,0,1,25
2020-02-09,"Malaysia",16,0,1,15
2020-02-09,"Nepal",1,0,0,1
2020-02-09,"Others",64,0,0,64
2020-02-09,"Philippines",3,1,0,2
2020-02-09,"Russia",2,0,0,2
2020-02-09,"Singapore",40,0,2,38
2020-02-09,"South Korea",25,0,3,22
2020-02-09,"Spain",2,0,0,2
2020-02-09,"Sri Lanka",1,0,1,0
2020-02-09,"Sweden",1,0,0,1
2020-02-09,"Taiwan",18,0,1,17
2020-02-09,"Thailand",32,0,10,22
2020-02-09,"UK",3,0,0,3
2020-02-09,"United Arab Emirates",7,0,0,7
2020-02-09,"US",12,0,3,9
2020-02-09,"Vietnam",13,0,1,12
2020-02-10,"Australia",15,0,2,13
2020-02-10,"Belgium",1,0,0,1
2020-02-10,"Cambodia",1,0,0,1
2020-02-10,"Canada",7,0,0,7
2020-02-10,"China",42354,1012,3918,37424
2020-02-10,"Finland",1,0,0,1
2020-02-10,"France",11,0,0,11
2020-02-10,"Germany",14,0,0,14
2020-02-10,"India",3,0,0,3
2020-02-10,"Italy",3,0,0,3
2020-02-10,"Japan",26,0,4,22
2020-02-10,"Malaysia",18,0,1,17
2020-02-10,"Nepal",1,0,0,1
2020-02-10,"Others",135,0,0,135
2020-02-10,"Philippines",3,1,0,2
2020-02-10,"Russia",2,0,0,2
2020-02-10,"Singapore",45,0,2,43
2020-02-10,"South Korea",27,0,3,24
2020-02-10,"Spain",2,0,0,2
2020-02-10,"Sri Lanka",1,0,1,0
2020-02-10,"Sweden",1,0,0,1
2020-02-10,"Taiwan",18,0,1,17
2020-02-10,"Thailand",32,0,10,22
2020-02-10,"UK",8,0,0,8
2020-02-10,"United Arab Emirates",8,0,0,8
2020-02-10,"US",12,0,3,9
2020-02-10,"Vietnam",14,0,1,13
2020-02-11,"Australia",15,0,2,13
2020-02-11,"Belgium",1,0,0,1
2020-02-11,"Cambodia",1,0,0,1
2020-02-11,"Canada",7,0,0,7
2020-02-11,"China",44386,1112,4636,38638
2020-02-11,"Finland",1,0,0,1
2020-02-11,"France",11,0,0,11
2020-02-11,"Germany",16,0,0,16
2020-02-11,"India",3,0,0,3
2020-02-11,"Italy",3,0,0,3
2020-02-11,"Japan",26,0,9,17
2020-02-11,"Malaysia",18,0,3,15
2020-02-11,"Nepal",1,0,0,1
2020-02-11,"Others",135,0,0,135
2020-02-11,"Philippines",3,1,0,2
2020-02-11,"Russia",2,0,0,2
2020-02-11,"Singapore",47,0,9,38
2020-02-11,"South Korea",28,0,3,25
2020-02-11,"Spain",2,0,0,2
2020-02-11,"Sri Lanka",1,0,1,0
2020-02-11,"Sweden",1,0,0,1
2020-02-11,"Taiwan",18,0,1,17
2020-02-11,"Thailand",33,0,10,23
2020-02-11,"UK",8,0,0,8
2020-02-11,"United Arab Emirates",8,0,0,8
2020-02-11,"US",13,0,3,10
2020-02-11,"Vietnam",15,0,6,9
2020-02-12,"Australia",15,0,2,13
2020-02-12,"Belgium",1,0,0,1
2020-02-12,"Cambodia",1,0,1,0
2020-02-12,"Canada",7,0,1,6
2020-02-12,"China",44759,1117,5082,38560
2020-02-12,"Finland",1,0,1,0
2020-02-12,"France",11,0,2,9
2020-02-12,"Germany",16,0,0,16
2020-02-12,"India",3,0,0,3
2020-02-12,"Italy",3,0,0,3
2020-02-12,"Japan",28,0,9,19
2020-02-12,"Malaysia",18,0,3,15
2020-02-12,"Nepal",1,0,1,0
2020-02-12,"Others",175,0,0,175
2020-02-12,"Philippines",3,1,1,1
2020-02-12,"Russia",2,0,2,0
2020-02-12,"Singapore",50,0,15,35
2020-02-12,"South Korea",28,0,7,21
2020-02-12,"Spain",2,0,0,2
2020-02-12,"Sri Lanka",1,0,1,0
2020-02-12,"Sweden",1,0,0,1
2020-02-12,"Taiwan",18,0,1,17
2020-02-12,"Thailand",33,0,10,23
2020-02-12,"UK",9,0,1,8
2020-02-12,"United Arab Emirates",8,0,1,7
2020-02-12,"US",13,0,3,10
2020-02-12,"Vietnam",15,0,6,9
2020-02-13,"Australia",15,0,8,7
2020-02-13,"Belgium",1,0,0,1
2020-02-13,"Cambodia",1,0,1,0
2020-02-13,"Canada",7,0,1,6
2020-02-13,"China",59895,1369,6217,52309
2020-02-13,"Finland",1,0,1,0
2020-02-13,"France",11,0,2,9
2020-02-13,"Germany",16,0,1,15
2020-02-13,"India",3,0,0,3
2020-02-13,"Italy",3,0,0,3
2020-02-13,"Japan",28,1,9,18
2020-02-13,"Malaysia",19,0,3,16
2020-02-13,"Nepal",1,0,1,0
2020-02-13,"Others",175,0,0,175
2020-02-13,"Philippines",3,1,1,1
2020-02-13,"Russia",2,0,2,0
2020-02-13,"Singapore",58,0,15,43
2020-02-13,"South Korea",28,0,7,21
2020-02-13,"Spain",2,0,0,2
2020-02-13,"Sri Lanka",1,0,1,0
2020-02-13,"Sweden",1,0,0,1
2020-02-13,"Taiwan",18,0,1,17
2020-02-13,"Thailand",33,0,12,21
2020-02-13,"UK",9,0,1,8
2020-02-13,"United Arab Emirates",8,0,1,7
2020-02-13,"US",15,0,3,12
2020-02-13,"Vietnam",16,0,7,9
2020-02-14,"Australia",15,0,8,7
2020-02-14,"Belgium",1,0,0,1
2020-02-14,"Cambodia",1,0,1,0
2020-02-14,"Canada",7,0,1,6
2020-02-14,"China",66358,1521,7977,56860
2020-02-14,"Egypt",1,0,0,1
2020-02-14,"Finland",1,0,1,0
2020-02-14,"France",11,0,2,9
2020-02-14,"Germany",16,0,1,15
2020-02-14,"India",3,0,0,3
2020-02-14,"Italy",3,0,0,3
2020-02-14,"Japan",29,1,9,19
2020-02-14,"Malaysia",19,0,3,16
2020-02-14,"Nepal",1,0,1,0
2020-02-14,"Others",218,0,0,218
2020-02-14,"Philippines",3,1,1,1
2020-02-14,"Russia",2,0,2,0
2020-02-14,"Singapore",67,0,17,50
2020-02-14,"South Korea",28,0,7,21
2020-02-14,"Spain",2,0,0,2
2020-02-14,"Sri Lanka",1,0,1,0
2020-02-14,"Sweden",1,0,0,1
2020-02-14,"Taiwan",18,0,2,16
2020-02-14,"Thailand",33,0,12,21
2020-02-14,"UK",9,0,1,8
2020-02-14,"United Arab Emirates",8,0,1,7
2020-02-14,"US",15,0,3,12
2020-02-14,"Vietnam",16,0,7,9
2020-02-15,"Australia",15,0,8,7
2020-02-15,"Belgium",1,0,0,1
2020-02-15,"Cambodia",1,0,1,0
2020-02-15,"Canada",7,0,1,6
2020-02-15,"China",68413,1663,9298,57452
2020-02-15,"Egypt",1,0,0,1
2020-02-15,"Finland",1,0,1,0
2020-02-15,"France",12,1,4,7
2020-02-15,"Germany",16,0,1,15
2020-02-15,"India",3,0,0,3
2020-02-15,"Italy",3,0,0,3
2020-02-15,"Japan",43,1,12,30
2020-02-15,"Malaysia",22,0,7,15
2020-02-15,"Nepal",1,0,1,0
2020-02-15,"Others",285,0,0,285
2020-02-15,"Philippines",3,1,1,1
2020-02-15,"Russia",2,0,2,0
2020-02-15,"Singapore",72,0,18,54
2020-02-15,"South Korea",28,0,9,19
2020-02-15,"Spain",2,0,2,0
2020-02-15,"Sri Lanka",1,0,1,0
2020-02-15,"Sweden",1,0,0,1
2020-02-15,"Taiwan",18,0,2,16
2020-02-15,"Thailand",33,0,12,21
2020-02-15,"UK",9,0,1,8
2020-02-15,"United Arab Emirates",8,0,3,5
2020-02-15,"US",15,0,3,12
2020-02-15,"Vietnam",16,0,7,9
2020-02-16,"Australia",15,0,8,7
2020-02-16,"Belgium",1,0,0,1
2020-02-16,"Cambodia",1,0,1,0
2020-02-16,"Canada",7,0,1,6
2020-02-16,"China",70513,1766,10755,57992
2020-02-16,"Egypt",1,0,0,1
2020-02-16,"Finland",1,0,1,0
2020-02-16,"France",12,1,4,7
2020-02-16,"Germany",16,0,1,15
2020-02-16,"India",3,0,3,0
2020-02-16,"Italy",3,0,0,3
2020-02-16,"Japan",59,1,12,46
2020-02-16,"Malaysia",22,0,7,15
2020-02-16,"Nepal",1,0,1,0
2020-02-16,"Others",355,0,0,355
2020-02-16,"Philippines",3,1,1,1
2020-02-16,"Russia",2,0,2,0
2020-02-16,"Singapore",75,0,18,57
2020-02-16,"South Korea",29,0,9,20
2020-02-16,"Spain",2,0,2,0
2020-02-16,"Sri Lanka",1,0,1,0
2020-02-16,"Sweden",1,0,0,1
2020-02-16,"Taiwan",20,1,2,17
2020-02-16,"Thailand",34,0,14,20
2020-02-16,"UK",9,0,8,1
2020-02-16,"United Arab Emirates",9,0,4,5
2020-02-16,"US",15,0,3,12
2020-02-16,"Vietnam",16,0,7,9
2020-02-17,"Australia",15,0,10,5
2020-02-17,"Belgium",1,0,1,0
2020-02-17,"Cambodia",1,0,1,0
2020-02-17,"Canada",8,0,1,7
2020-02-17,"China",72434,1864,12462,58108
2020-02-17,"Egypt",1,0,0,1
2020-02-17,"Finland",1,0,1,0
2020-02-17,"France",12,1,4,7
2020-02-17,"Germany",16,0,1,15
2020-02-17,"India",3,0,3,0
2020-02-17,"Italy",3,0,0,3
2020-02-17,"Japan",66,1,12,53
2020-02-17,"Malaysia",22,0,7,15
2020-02-17,"Nepal",1,0,1,0
2020-02-17,"Others",454,0,0,454
2020-02-17,"Philippines",3,1,1,1
2020-02-17,"Russia",2,0,2,0
2020-02-17,"Singapore",77,0,24,53
2020-02-17,"South Korea",30,0,10,20
2020-02-17,"Spain",2,0,2,0
2020-02-17,"Sri Lanka",1,0,1,0
2020-02-17,"Sweden",1,0,0,1
2020-02-17,"Taiwan",22,1,2,19
2020-02-17,"Thailand",35,0,15,20
2020-02-17,"UK",9,0,8,1
2020-02-17,"United Arab Emirates",9,0,4,5
2020-02-17,"US",15,0,3,12
2020-02-17,"Vietnam",16,0,7,9
2020-02-18,"Australia",15,0,10,5
2020-02-18,"Belgium",1,0,1,0
2020-02-18,"Cambodia",1,0,1,0
2020-02-18,"Canada",8,0,1,7
2020-02-18,"China",74211,2003,14206,58002
2020-02-18,"Egypt",1,0,0,1
2020-02-18,"Finland",1,0,1,0
2020-02-18,"France",12,1,4,7
2020-02-18,"Germany",16,0,12,4
2020-02-18,"India",3,0,3,0
2020-02-18,"Italy",3,0,0,3
2020-02-18,"Japan",74,1,13,60
2020-02-18,"Malaysia",22,0,13,9
2020-02-18,"Nepal",1,0,1,0
2020-02-18,"Others",542,0,0,542
2020-02-18,"Philippines",3,1,1,1
2020-02-18,"Russia",2,0,2,0
2020-02-18,"Singapore",81,0,29,52
2020-02-18,"South Korea",31,0,12,19
2020-02-18,"Spain",2,0,2,0
2020-02-18,"Sri Lanka",1,0,1,0
2020-02-18,"Sweden",1,0,0,1
2020-02-18,"Taiwan",22,1,2,19
2020-02-18,"Thailand",35,0,15,20
2020-02-18,"UK",9,0,8,1
2020-02-18,"United Arab Emirates",9,0,4,5
2020-02-18,"US",15,0,3,12
2020-02-18,"Vietnam",16,0,7,9
2020-02-19,"Australia",15,0,10,5
2020-02-19,"Belgium",1,0,1,0
2020-02-19,"Cambodia",1,0,1,0
2020-02-19,"Canada",8,0,1,7
2020-02-19,"China",74619,2116,15962,56541
2020-02-19,"Egypt",1,0,0,1
2020-02-19,"Finland",1,0,1,0
2020-02-19,"France",12,1,4,7
2020-02-19,"Germany",16,0,12,4
2020-02-19,"India",3,0,3,0
2020-02-19,"Iran",2,2,0,0
2020-02-19,"Italy",3,0,0,3
2020-02-19,"Japan",84,1,18,65
2020-02-19,"Malaysia",22,0,15,7
2020-02-19,"Nepal",1,0,1,0
2020-02-19,"Others",621,0,1,620
2020-02-19,"Philippines",3,1,1,1
2020-02-19,"Russia",2,0,2,0
2020-02-19,"Singapore",84,0,34,50
2020-02-19,"South Korea",31,0,12,19
2020-02-19,"Spain",2,0,2,0
2020-02-19,"Sri Lanka",1,0,1,0
2020-02-19,"Sweden",1,0,0,1
2020-02-19,"Taiwan",23,1,2,20
2020-02-19,"Thailand",35,0,15,20
2020-02-19,"UK",9,0,8,1
2020-02-19,"United Arab Emirates",9,0,4,5
2020-02-19,"US",15,0,3,12
2020-02-19,"Vietnam",16,0,7,9
2020-02-20,"Australia",15,0,10,5
2020-02-20,"Belgium",1,0,1,0
2020-02-20,"Cambodia",1,0,1,0
2020-02-20,"Canada",8,0,1,7
2020-02-20,"China",75077,2238,18014,54825
2020-02-20,"Egypt",1,0,0,1
2020-02-20,"Finland",1,0,1,0
2020-02-20,"France",12,1,4,7
2020-02-20,"Germany",16,0,12,4
2020-02-20,"India",3,0,3,0
2020-02-20,"Iran",5,2,0,3
2020-02-20,"Italy",3,0,0,3
2020-02-20,"Japan",94,1,18,75
2020-02-20,"Malaysia",22,0,15,7
2020-02-20,"Nepal",1,0,1,0
2020-02-20,"Others",634,2,1,631
2020-02-20,"Philippines",3,1,1,1
